feature,importance
lag_1,1023
rolling_mean_7d,827
lag_7,753
lag_28,681
lag_2,596
weekday,579
lag_14,560
rolling_mean_28d,428
month,413
rolling_mean_56d,354
rolling_std_7d,313
item_id_enc,302
sell_price,296
units_sold_7d_sum,221
price_discount_proxy,216
price_rolling_mean_4wk,197
rolling_std_56d,157
snap_CA,148
price_lag1,125
is_national_event,112
is_weekend,108
year,107
price_change,74
has_event,56
snap_WI,55
rolling_std_28d,55
snap_TX,43
dept_id_enc,39
is_cultural_event,38
quarter,33
is_month_start,25
cat_id_enc,24
is_religious_event,20
is_month_end,19
is_sporting_event,3
store_id_enc,0
state_id_enc,0
